id,longitude,latitude,depth,time,common_name,species_name,size
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,57
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,64
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,65
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,66
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,68
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,67
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,70
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,74
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,74
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,66
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,65
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,78
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,57
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,55
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,44
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,62
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,64
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,59
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,41
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,42
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,35
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,38
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,40
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,47
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,71
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,54
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,60
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,60
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,54
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,34
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,54
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,61
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,72
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,60
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,69
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,43
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,76
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,52
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,80
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,48
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,46
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,60
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,54
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,58
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,53
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,51
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,77
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,68
Anacapa (Admiral's Reef),-119.4166667,34,16,2007-07-01T00:00:00Z,Bat star,Asterina miniata,44
